path,text,BASIC_SOUNDS,HESITATION_WORDS,VERBAL_CRUTCHES,REPETITIVE_STARTS,FILLED_PAUSES,DISCOURSE_MARKERS,PERSONAL_PRONOUNS,OPINION_INDICATORS,EMOTION_WORDS,JUDGMENT_ADJECTIVES,QUALIFIERS_HEDGING,COMMON_PHRASES,OPINION_PHRASES,SELF_DISCLOSURES,HEALTH,FINANCES,RELATIONSHIPS,FAMILY,LIMITED_AVAILABILITY,EXCLUSIVITY,TIME_SENSITIVE,LIMITED_TIME,EXCLUSIVE_DISCOUNT,URGENCY_PROMOTION,OTHERS,SELLING_FAST,HARD_WORK,EXCLUSIVE_FOR_FOLLOWERS,GENEROSITY,APPRECIATION,NATURAL_FIT,LIFESTYLE_IMPROVEMENT,CONTINUATION,GOALS,DURATION,UNIQUE_CODE,SHARING_CODE,HONESTY,CONTRAST,PROS,CONS,ADMISSION,UNCERTAINTY,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,POV,UNBOXING,GRWM,RESTOCKING,DAY_IN_MY_LIFE_PATTERNS,DUPE,video_duration,end_first_segment,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,PAMPERSUS_BRAND,RASCALSBABY_BRAND,THENINJAMAS_BRAND,GENERAL_HOOK,NEGATIVE_HOOK,brand_counts,BRAND_TS,integration_in_first_10_seconds,integration_in_first_half_video,integration_duration,int_between_90_240,integration_ts,narrative_changes,brand_as_sponsor,scenes,raw_scenes,scene_change_in_integration,num_scenes
results/coterie/C-5_QPIyNVK_2024-08-20_21-17-52_UTC," I just woke my baby up from a four hour nap. So obviously she needs some snuggles and then we're going to change her diaper. We've been using the diaper by Coterie and oh my heck, the softness is like cashmere. It absorbs so dang good. Plus they use clean ingredients, which means reduced skin irritation, which is so important for my eczema prone baby.",True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.74,2.42,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7.82,1,0,0.0,0,"(0, 0)",1,0,"[(0.0, 6.567), (6.567, 8.7), (8.7, 15.733), (15.733, 18.633)]","[('00:00:00.000', '00:00:06.567'), ('00:00:06.567', '00:00:08.700'), ('00:00:08.700', '00:00:15.733'), ('00:00:15.733', '00:00:18.633')]",0,4
results/coterie/C-DXZgbOkpL_2024-07-30_15-54-25_UTC_1, Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.6,29.98,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0,"[(0.0, 1.736), (1.736, 3.238), (3.238, 5.308), (5.308, 7.277), (7.277, 8.78), (8.78, 10.081), (10.081, 11.383), (11.383, 13.42), (13.42, 13.553)]","[('00:00:00.000', '00:00:01.736'), ('00:00:01.736', '00:00:03.238'), ('00:00:03.238', '00:00:05.308'), ('00:00:05.308', '00:00:07.277'), ('00:00:07.277', '00:00:08.780'), ('00:00:08.780', '00:00:10.081'), ('00:00:10.081', '00:00:11.383'), ('00:00:11.383', '00:00:13.420'), ('00:00:13.420', '00:00:13.553')]",0,9
results/coterie/C-ENTmNu4LL_2024-07-30_23-47-31_UTC_1, Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.59,29.98,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0,"[(0.0, 1.736), (1.736, 3.238), (3.238, 5.308), (5.308, 7.277), (7.277, 8.78), (8.78, 10.081), (10.081, 11.383), (11.383, 13.42), (13.42, 13.587)]","[('00:00:00.000', '00:00:01.736'), ('00:00:01.736', '00:00:03.238'), ('00:00:03.238', '00:00:05.308'), ('00:00:05.308', '00:00:07.277'), ('00:00:07.277', '00:00:08.780'), ('00:00:08.780', '00:00:10.081'), ('00:00:10.081', '00:00:11.383'), ('00:00:11.383', '00:00:13.420'), ('00:00:13.420', '00:00:13.587')]",0,9
results/coterie/C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC_1, Thank you. Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31.02,29.98,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0,"[(0.0, 1.2), (1.2, 1.867), (1.867, 3.2), (3.2, 4.167), (4.167, 5.867), (5.867, 6.3), (6.3, 6.733), (6.733, 7.2), (7.2, 8.5), (8.5, 9.3), (9.3, 9.733), (9.733, 10.267), (10.267, 10.8), (10.8, 11.7), (11.7, 12.333), (12.333, 12.767), (12.767, 13.367), (13.367, 13.967), (13.967, 14.433), (14.433, 15.167), (15.167, 15.733), (15.733, 18.1), (18.1, 19.6), (19.6, 21.467), (21.467, 23.2), (23.2, 24.867), (24.867, 28.5), (28.5, 30.833)]","[('00:00:00.000', '00:00:01.200'), ('00:00:01.200', '00:00:01.867'), ('00:00:01.867', '00:00:03.200'), ('00:00:03.200', '00:00:04.167'), ('00:00:04.167', '00:00:05.867'), ('00:00:05.867', '00:00:06.300'), ('00:00:06.300', '00:00:06.733'), ('00:00:06.733', '00:00:07.200'), ('00:00:07.200', '00:00:08.500'), ('00:00:08.500', '00:00:09.300'), ('00:00:09.300', '00:00:09.733'), ('00:00:09.733', '00:00:10.267'), ('00:00:10.267', '00:00:10.800'), ('00:00:10.800', '00:00:11.700'), ('00:00:11.700', '00:00:12.333'), ('00:00:12.333', '00:00:12.767'), ('00:00:12.767', '00:00:13.367'), ('00:00:13.367', '00:00:13.967'), ('00:00:13.967', '00:00:14.433'), ('00:00:14.433', '00:00:15.167'), ('00:00:15.167', '00:00:15.733'), ('00:00:15.733', '00:00:18.100'), ('00:00:18.100', '00:00:19.600'), ('00:00:19.600', '00:00:21.467'), ('00:00:21.467', '00:00:23.200'), ('00:00:23.200', '00:00:24.867'), ('00:00:24.867', '00:00:28.500'), ('00:00:28.500', '00:00:30.833')]",0,28
results/coterie/C-V6tW3u8fR_2024-08-06_20-54-44_UTC_1, Hey! Hey! Hey! Hey! Hey!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.48,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0,"[(0.0, 4.4), (4.4, 7.833), (7.833, 12.3), (12.3, 15.367)]","[('00:00:00.000', '00:00:04.400'), ('00:00:04.400', '00:00:07.833'), ('00:00:07.833', '00:00:12.300'), ('00:00:12.300', '00:00:15.367')]",0,4
results/coterie/C-YbFlAS_Qo_2024-08-07_20-11-12_UTC, spend a weekend morning with us this morning we went to our local farmers market for some goodies for brunch we wanted to make our latest obsession which is some sourdough french toast starting solid the santino has definitely been all the things at first anxiety inducing but then fun and also always a mess you just need a whole lot of patience a cleaning crew close by ours is shila and jitsu of course and the new coterie soft wipe if you know me as a mom you know that i'm a coterie wipe fanatic and now they have their new soft wipe which are also paraben free fragrance free and clean and they're great for messes like this because they're actually moisturizing for the skin after brunch i nursed santino and that was our morning,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.82,4.48,False,False,False,False,False,False,False,False,False,False,False,False,False,2,21.63,0,0,0.0,0,"(0, 0)",1,0,"[(0.0, 0.667), (0.667, 1.4), (1.4, 2.933), (2.933, 3.833), (3.833, 4.733), (4.733, 6.0), (6.0, 6.8), (6.8, 7.567), (7.567, 8.4), (8.4, 10.133), (10.133, 11.067), (11.067, 12.1), (12.1, 12.533), (12.533, 13.167), (13.167, 13.633), (13.633, 14.2), (14.2, 14.633), (14.633, 16.8), (16.8, 18.167), (18.167, 18.8), (18.8, 20.133), (20.133, 21.433), (21.433, 22.1), (22.1, 23.0), (23.0, 24.067), (24.067, 24.9), (24.9, 26.867), (26.867, 30.133), (30.133, 31.733), (31.733, 33.233), (33.233, 34.0), (34.0, 34.767), (34.767, 36.7)]","[('00:00:00.000', '00:00:00.667'), ('00:00:00.667', '00:00:01.400'), ('00:00:01.400', '00:00:02.933'), ('00:00:02.933', '00:00:03.833'), ('00:00:03.833', '00:00:04.733'), ('00:00:04.733', '00:00:06.000'), ('00:00:06.000', '00:00:06.800'), ('00:00:06.800', '00:00:07.567'), ('00:00:07.567', '00:00:08.400'), ('00:00:08.400', '00:00:10.133'), ('00:00:10.133', '00:00:11.067'), ('00:00:11.067', '00:00:12.100'), ('00:00:12.100', '00:00:12.533'), ('00:00:12.533', '00:00:13.167'), ('00:00:13.167', '00:00:13.633'), ('00:00:13.633', '00:00:14.200'), ('00:00:14.200', '00:00:14.633'), ('00:00:14.633', '00:00:16.800'), ('00:00:16.800', '00:00:18.167'), ('00:00:18.167', '00:00:18.800'), ('00:00:18.800', '00:00:20.133'), ('00:00:20.133', '00:00:21.433'), ('00:00:21.433', '00:00:22.100'), ('00:00:22.100', '00:00:23.000'), ('00:00:23.000', '00:00:24.067'), ('00:00:24.067', '00:00:24.900'), ('00:00:24.900', '00:00:26.867'), ('00:00:26.867', '00:00:30.133'), ('00:00:30.133', '00:00:31.733'), ('00:00:31.733', '00:00:33.233'), ('00:00:33.233', '00:00:34.000'), ('00:00:34.000', '00:00:34.767'), ('00:00:34.767', '00:00:36.700')]",0,33
results/coterie/C-sMKNjuCDh_2024-08-15_12-27-50_UTC," Oh, I wasn't sad. I just needed a...",True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.94,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",1,0,"[(0.0, 2.467), (2.467, 3.233), (3.233, 4.6), (4.6, 5.933)]","[('00:00:00.000', '00:00:02.467'), ('00:00:02.467', '00:00:03.233'), ('00:00:03.233', '00:00:04.600'), ('00:00:04.600', '00:00:05.933')]",0,4
results/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_4_1, Wow!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.22,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0,[],[],0,0
results/coterie/C1zxtS8vCE7_2024-01-07_18-26-55_UTC_1," People see me but they just don't know Come on baby, let the good time roll I'm fresh off the block, the hustler just returned Hadibov these niggas, now they call me Big Worm I'm the shit according to the streets The town without gift will make Memphis bleak But I don't toss up rock signs and diamonds But I might toss an heavy head hoe like I'm missing Come on baby, let the good time roll Let's do it",False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32.16,2.86,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0,0,0,0.0,0,"(0, 0)",1,0,[],[],0,0
results/coterie/C2FtxwBRDzg_2024-01-14_17-39-06_UTC_1, Will we stay the same? Do you know what you're doing?,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.17,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",1,0,"[(0.0, 1.767), (1.767, 2.967), (2.967, 4.0), (4.0, 5.1), (5.1, 6.033), (6.033, 6.7), (6.7, 8.067)]","[('00:00:00.000', '00:00:01.767'), ('00:00:01.767', '00:00:02.967'), ('00:00:02.967', '00:00:04.000'), ('00:00:04.000', '00:00:05.100'), ('00:00:05.100', '00:00:06.033'), ('00:00:06.033', '00:00:06.700'), ('00:00:06.700', '00:00:08.067')]",0,7
