brand,file_path,product_usage_in_action,product_usage_in_action_description,product_clearly_seen,product_clearly_seen_description,is_a_child_or_baby_present,is_a_child_or_baby_present_description
mymilliemoon,results/mymilliemoon/C05cJndon4E_2023-12-16_02-40-39_UTC_2.jpg,False,The video does not show anyone using the product. It only shows a baby wearing the diaper.,True,The Millie Moon diaper is clearly visible on the baby.,True,A baby is shown wearing a Millie Moon diaper.
mymilliemoon,results/mymilliemoon/C4dnb2iRGj__2024-03-13_17-27-32_UTC_1.jpg,True,A baby is shown wearing the Millie Moon diaper.  The diaper is being put on the baby.,True,The Millie Moon diaper is clearly visible and the brand name is shown.,True,A baby's legs and bottom are shown while the diaper is being put on.
mymilliemoon,results/mymilliemoon/C05cJndon4E_2023-12-16_02-40-39_UTC_4.jpg,False,No people are shown in the video.,False,The provided image is a logo; no product is shown.,False,No child or baby is present in the image.
mymilliemoon,results/mymilliemoon/DBPzDigtYKm_2024-10-18_01-20-00_UTC_1.jpg,False,"The video shows a baby wearing the diapers, but it does not show the process of putting them on. ",True,"The Millie Moon diapers are clearly visible in the image, and their packaging is shown.",True,"A baby is shown lying on a surface, seemingly wearing one of the diapers."
mymilliemoon,results/mymilliemoon/C8XyNnyv-oF_2024-06-18_21-14-49_UTC_1.jpg,False,"The video shows a diaper bag with various baby care items inside, but it does not show anyone using the products.",True,"The diaper bag, which appears to be the product, is clearly visible.",False,No child or baby is present in the video.
mymilliemoon,results/mymilliemoon/C05cJndon4E_2023-12-16_02-40-39_UTC_3.jpg,True,"A baby is shown wearing a Millie Moon diaper. Although it's not shown being put on, the baby is wearing it.",True,The Millie Moon branding is visible on the diaper the baby is wearing.,True,There is a baby present wearing the Millie Moon diaper.
mymilliemoon,results/mymilliemoon/C9FjL_nx-fg_2024-07-06_15-45-34_UTC_1.jpg,False,"The video shows a baby sleeping in what seems to be a wearable blanket, but there is no demonstration of how it is used or put on.",True,The wearable blanket with seashells and starfish design is clearly visible on the baby.,True,A baby is shown sleeping in the wearable blanket.
mymilliemoon,results/mymilliemoon/C05cJndon4E_2023-12-16_02-40-39_UTC_1.jpg,False,"The video shows a baby wearing the diaper, but does not show the process of putting it on.",True,The Millie Moon diaper is clearly visible on the baby.,True,A baby is wearing the Millie Moon diaper.
mymilliemoon,results/mymilliemoon/DBRrUMBySnN_2024-10-18_18-53-26_UTC_1.jpg,False,"The video shows a box of diapers, but does not show anyone using the diapers.",True,The box of Millie Moon Luxury Diapers is clearly visible and the brand is clearly displayed.,True,A baby is shown on the box of diapers.
mymilliemoon,results/mymilliemoon/C379j90r-IJ_2024-02-29_15-53-11_UTC_1.jpg,False,The video shows a person holding the product but not using it on a baby.,True,The product box and packaging are clearly visible in the video.,False,There are no children or babies present in this video.
